record_year,model,displ,cyl,trans,drive,fuel,cert_region,veh_class,air_pollution_score,city_mpg,hwy_mpg,cmb_mpg,greenhouse_gas_score,smartway
2018,BMW 640i Gran Coupe,3.0,6.0,SemiAuto-8,2WD,Gasoline,CA,small car,3,20,29,23,5,No
2018,BMW 640i Gran Coupe,3.0,6.0,SemiAuto-8,2WD,Gasoline,FA,small car,3,20,29,23,5,No
2018,BMW 640i Gran Coupe,3.0,6.0,SemiAuto-8,4WD,Gasoline,CA,small car,3,19,28,22,4,No
2018,BMW 640i Gran Coupe,3.0,6.0,SemiAuto-8,4WD,Gasoline,FA,small car,3,19,28,22,4,No
2018,BMW 650i Convertible,4.4,8.0,SemiAuto-8,2WD,Gasoline,CA,small car,3,17,25,20,4,No
2018,BMW 650i Convertible,4.4,8.0,SemiAuto-8,2WD,Gasoline,FA,small car,3,17,25,20,4,No
2018,BMW 650i Convertible,4.4,8.0,SemiAuto-8,4WD,Gasoline,CA,small car,3,16,25,19,3,No
2018,BMW 650i Convertible,4.4,8.0,SemiAuto-8,4WD,Gasoline,FA,small car,3,16,25,19,3,No
2018,BMW 650i Gran Coupe,4.4,8.0,SemiAuto-8,2WD,Gasoline,CA,small car,3,17,25,20,4,No
2018,BMW 650i Gran Coupe,4.4,8.0,SemiAuto-8,2WD,Gasoline,FA,small car,3,17,25,20,4,No
2018,BMW 650i Gran Coupe,4.4,8.0,SemiAuto-8,4WD,Gasoline,CA,small car,3,16,25,19,3,No
2018,BMW 650i Gran Coupe,4.4,8.0,SemiAuto-8,4WD,Gasoline,FA,small car,3,16,25,19,3,No
2018,BMW 740e,2.0,4.0,SemiAuto-8,4WD,Gasoline/Electricity,CA,large car,3,25/62,29/68,27/64,9,Yes
2018,BMW 740e,2.0,4.0,SemiAuto-8,4WD,Gasoline/Electricity,FA,large car,3,25/62,29/68,27/64,9,Yes
2018,BMW 740i,3.0,6.0,SemiAuto-8,2WD,Gasoline,CA,large car,3,21,29,24,5,No
2018,BMW 740i,3.0,6.0,SemiAuto-8,2WD,Gasoline,FA,large car,3,21,29,24,5,No
2018,BMW 740i,3.0,6.0,SemiAuto-8,4WD,Gasoline,CA,large car,3,20,29,23,5,No
2018,BMW 740i,3.0,6.0,SemiAuto-8,4WD,Gasoline,FA,large car,3,20,29,23,5,No
2018,BMW 750i,4.4,8.0,SemiAuto-8,2WD,Gasoline,CA,large car,3,17,25,20,4,No
2018,BMW 750i,4.4,8.0,SemiAuto-8,2WD,Gasoline,FA,large car,3,17,25,20,4,No
2018,BMW 750i,4.4,8.0,SemiAuto-8,4WD,Gasoline,CA,large car,3,16,25,19,3,No
2018,BMW 750i,4.4,8.0,SemiAuto-8,4WD,Gasoline,FA,large car,3,16,25,19,3,No
2018,BMW Alpina B6 Gran Coupe,4.4,8.0,SemiAuto-8,4WD,Gasoline,CA,small car,3,16,25,19,3,No
2018,BMW Alpina B6 Gran Coupe,4.4,8.0,SemiAuto-8,4WD,Gasoline,FA,small car,3,16,25,19,3,No
2018,BMW Alpina B7,4.4,8.0,SemiAuto-8,4WD,Gasoline,CA,large car,3,16,25,19,3,No
2018,BMW Alpina B7,4.4,8.0,SemiAuto-8,4WD,Gasoline,FA,large car,3,16,25,19,3,No
2018,BMW M2,3.0,6.0,AMS-7,2WD,Gasoline,CA,small car,3,20,26,22,4,No
2018,BMW M2,3.0,6.0,AMS-7,2WD,Gasoline,FA,small car,3,20,26,22,4,No
2018,BMW M2,3.0,6.0,Man-6,2WD,Gasoline,CA,small car,3,18,26,21,4,No
2018,BMW M2,3.0,6.0,Man-6,2WD,Gasoline,FA,small car,3,18,26,21,4,No
2018,BMW M240i Convertible,3.0,6.0,Man-6,2WD,Gasoline,CA,small car,3,18,27,22,4,No
2018,BMW M240i Convertible,3.0,6.0,Man-6,2WD,Gasoline,FA,small car,3,18,27,22,4,No
2018,BMW M240i Convertible,3.0,6.0,SemiAuto-8,2WD,Gasoline,CA,small car,3,21,30,24,5,No
2018,BMW M240i Convertible,3.0,6.0,SemiAuto-8,2WD,Gasoline,FA,small car,3,21,30,24,5,No
2018,BMW M240i Convertible,3.0,6.0,SemiAuto-8,4WD,Gasoline,CA,small car,3,21,30,24,5,No
2018,BMW M240i Convertible,3.0,6.0,SemiAuto-8,4WD,Gasoline,FA,small car,3,21,30,24,5,No
2018,BMW M240i Coupe,3.0,6.0,Man-6,2WD,Gasoline,CA,small car,3,19,28,22,4,No
2018,BMW M240i Coupe,3.0,6.0,Man-6,2WD,Gasoline,FA,small car,3,19,28,22,4,No
2018,BMW M240i Coupe,3.0,6.0,SemiAuto-8,2WD,Gasoline,CA,small car,3,21,30,24,5,No
