,record_year,model,displ,cyl,trans,drive,fuel,cert_region,veh_class,air_pollution_score,city_mpg,hwy_mpg,cmb_mpg,greenhouse_gas_score,smartway
191,2018,BMW Alpina B7,4.4,80,SemiAuto-8,4WD,Gasoline,CA,large car,3.0,16.0,25.0,19.0,3,No
192,2018,BMW Alpina B7,4.4,80,SemiAuto-8,4WD,Gasoline,FA,large car,3.0,16.0,25.0,19.0,3,No
193,2018,BMW M2,3.0,60,AMS-7,2WD,Gasoline,CA,small car,3.0,20.0,26.0,22.0,4,No
194,2018,BMW M2,3.0,60,AMS-7,2WD,Gasoline,FA,small car,3.0,20.0,26.0,22.0,4,No
195,2018,BMW M2,3.0,60,Man-6,2WD,Gasoline,CA,small car,3.0,18.0,26.0,21.0,4,No
196,2018,BMW M2,3.0,60,Man-6,2WD,Gasoline,FA,small car,3.0,18.0,26.0,21.0,4,No
197,2018,BMW M240i Convertible,3.0,60,Man-6,2WD,Gasoline,CA,small car,3.0,18.0,27.0,22.0,4,No
198,2018,BMW M240i Convertible,3.0,60,Man-6,2WD,Gasoline,FA,small car,3.0,18.0,27.0,22.0,4,No
199,2018,BMW M240i Convertible,3.0,60,SemiAuto-8,2WD,Gasoline,CA,small car,3.0,21.0,30.0,24.0,5,No
200,2018,BMW M240i Convertible,3.0,60,SemiAuto-8,2WD,Gasoline,FA,small car,3.0,21.0,30.0,24.0,5,No
201,2018,BMW M240i Convertible,3.0,60,SemiAuto-8,4WD,Gasoline,CA,small car,3.0,21.0,30.0,24.0,5,No
202,2018,BMW M240i Convertible,3.0,60,SemiAuto-8,4WD,Gasoline,FA,small car,3.0,21.0,30.0,24.0,5,No
203,2018,BMW M240i Coupe,3.0,60,Man-6,2WD,Gasoline,CA,small car,3.0,19.0,28.0,22.0,4,No
204,2018,BMW M240i Coupe,3.0,60,Man-6,2WD,Gasoline,FA,small car,3.0,19.0,28.0,22.0,4,No
205,2018,BMW M240i Coupe,3.0,60,SemiAuto-8,2WD,Gasoline,CA,small car,3.0,21.0,30.0,24.0,5,No
206,2018,BMW M240i Coupe,3.0,60,SemiAuto-8,2WD,Gasoline,FA,small car,3.0,21.0,30.0,24.0,5,No
207,2018,BMW M240i Coupe,3.0,60,SemiAuto-8,4WD,Gasoline,CA,small car,3.0,21.0,30.0,24.0,5,No
